Traits,Effect,NumDF,DenDF,Sum Sq,Mean Sq,F value,P_Value,Stars
Total mass,Genotype,5,128.85343628364078,0.001,0,0.649,0.663,ns
Total mass,Treatment (1st Gen),1,7.899710872515015,0,0,0.376,0.557,ns
Total mass,Genotype x Treatment,5,128.85343628642923,0.003,0.001,1.404,0.227,ns
Leaf mass,Genotype,5,131.73513047740818,0,0,1.668,0.147,ns
Leaf mass,Treatment (1st Gen),1,12.242566106670095,0,0,4.399,0.057,ns
Leaf mass,Genotype x Treatment,5,131.73513053705963,0,0,1.105,0.361,ns
Stem mass,Genotype,5,127.96866203485736,0.001,0,0.737,0.597,ns
Stem mass,Treatment (1st Gen),1,7.282411011477596,0,0,0.435,0.53,ns
Stem mass,Genotype x Treatment,5,127.96866203913058,0.001,0,0.779,0.567,ns
Petiole mass,Genotype,5,130.7756016220835,0,0,1.674,0.145,ns
Petiole mass,Treatment (1st Gen),1,10.053889898746286,0,0,0.697,0.423,ns
Petiole mass,Genotype x Treatment,5,130.77560162541076,0,0,1.246,0.292,ns
Root mass,Genotype,5,128.22277494756278,0,0,1.865,0.105,ns
Root mass,Treatment (1st Gen),1,6.598209848594439,0,0,1.434,0.272,ns
Root mass,Genotype x Treatment,5,128.22277494654253,0.001,0,2.552,0.031,*
Number of ramets,Genotype,5,129.64294281318556,11.657,2.331,0.92,0.471,ns
Number of ramets,Treatment (1st Gen),1,8.52529032953878,5.645,5.645,2.227,0.172,ns
Number of ramets,Genotype x Treatment,5,129.64294280992382,11.605,2.321,0.916,0.473,ns
Number of leaves,Genotype,5,133.99999999689803,25.208,5.042,2.932,0.015,*
Number of leaves,Treatment (1st Gen),1,133.99999999688703,0.486,0.486,0.282,0.596,ns
Number of leaves,Genotype x Treatment,5,133.99999999698304,10.517,2.103,1.223,0.302,ns
Stem length,Genotype,5,128.4998929931205,98.721,19.744,1.264,0.284,ns
Stem length,Treatment (1st Gen),1,7.726287654884607,2.144,2.144,0.137,0.721,ns
Stem length,Genotype x Treatment,5,128.4998929947891,49.549,9.91,0.634,0.674,ns
Total leaf area,Genotype,5,130.003738667082,86.903,17.381,2.177,0.061,ns
Total leaf area,Treatment (1st Gen),1,8.751505471876625,10.338,10.338,1.295,0.285,ns
Total leaf area,Genotype x Treatment,5,130.0037386612085,63.043,12.609,1.579,0.17,ns
Mean leaf area,Genotype,5,129.07296591590492,17.005,3.401,6.963,0,***
Mean leaf area,Treatment (1st Gen),1,7.462564066345507,0.661,0.661,1.354,0.28,ns
Mean leaf area,Genotype x Treatment,5,129.0729659229052,3.182,0.636,1.303,0.267,ns
Specific leaf area,Genotype,5,129.84762461372895,48267478.693,9653495.739,3.329,0.007,**
Specific leaf area,Treatment (1st Gen),1,7.475207832979435,11241078.332,11241078.332,3.877,0.087,ns
Specific leaf area,Genotype x Treatment,5,129.84762462744777,61589117.325,12317823.465,4.248,0.001,**
Root-to-shoot ratio,Genotype,5,122.22344989537426,0.899,0.18,2.449,0.037,*
Root-to-shoot ratio,Treatment (1st Gen),1,2.6293098177579104,0.082,0.082,1.117,0.378,ns
Root-to-shoot ratio,Genotype x Treatment,5,122.22344991823262,0.527,0.105,1.436,0.216,ns
