Variable,gene,emmean,SE,df,lower.CL,upper.CL,.group
total.mass,G6,0.02762905014874713,0.00472933293401232,28.445885695062174,0.01794828736088728,0.037309812936606984,a
total.mass,G2,0.02607930553034101,0.004960091204443675,32.44869905280724,0.01598140676207746,0.03617720429860456,a
total.mass,G1,0.025454096058458834,0.004710548464141067,28.485211254164533,0.0158123742634357,0.03509581785348197,a
total.mass,G4,0.024669003322304386,0.007137677032749041,82.3235939030285,0.010470725524013527,0.038867281120595246,a
total.mass,G3,0.022998633450005062,0.0046404597123088885,26.551499951602583,0.013469665385178919,0.03252760151483121,a
total.mass,G5,0.018871822484310147,0.004683506872546636,27.415757375418238,0.009268874454413649,0.028474770514206646,a
total.leaf.mass,G1,0.005570923072197878,9.063799860623434e-4,90.52917655204021,0.0037703844181757222,0.007371461726220034,a
total.leaf.mass,G6,0.004907899121552464,9.086335788643272e-4,87.07699689809864,0.003101914011706822,0.006713884231398105,ab
total.leaf.mass,G5,0.0035937936187872663,8.951857244999947e-4,83.5297066513568,0.001813472183782667,0.0053741150537918655,ab
total.leaf.mass,G2,0.0032670148697006613,9.663872419176232e-4,88.29930299908816,0.0013466140244736823,0.0051874157149276404,ab
total.leaf.mass,G3,0.002812629923272262,8.82878881642988e-4,80.6997410431581,0.0010558788011049783,0.004569381045439546,b
total.leaf.mass,G4,0.002045741126652578,0.001533074057767602,120.3051806474817,-9.895603926559958e-4,0.005081042645961152,b
stem.mass,G4,0.01705454578171253,0.0046640929231021285,53.77818046554063,0.007702719062105949,0.02640637250131911,a
stem.mass,G6,0.015601142888037642,0.003336049422498009,18.130146494298398,0.00859596774503013,0.022606318031045153,a
stem.mass,G3,0.014392128842175932,0.0032892542932008266,17.1866521932521,0.007458145662528944,0.02132611202182292,a
stem.mass,G2,0.012951482290363038,0.0034599975322846645,20.492654291159116,0.005745161082716552,0.020157803498009524,a
stem.mass,G1,0.012827748072186085,0.0033248783403468096,18.027004055440422,0.005843187853169061,0.01981230829120311,a
stem.mass,G5,0.01047134627957565,0.003312146778914981,17.627825941427574,0.0035022383421527744,0.017440454216998524,a
petiole.mass,G4,0.0020358307658953413,4.84425589838971e-4,114.61834442550496,0.0010762429320968735,0.002995418599693809,a
petiole.mass,G1,0.0018251453658949136,2.927971104700644e-4,65.87583649910289,0.0012405365063381285,0.0024097542254516986,a
petiole.mass,G6,0.0014787104973422675,2.938074135546536e-4,64.03910494000468,8.917696173040735e-4,0.0020656513773804615,ab
petiole.mass,G5,0.001365375126126999,2.8985450377215044e-4,61.29172319869997,7.858310108519639e-4,0.0019449192414020342,ab
petiole.mass,G2,0.0013005922018622287,3.11972921847415e-4,68.15134255584717,6.780849597738704e-4,0.001923099443950587,ab
petiole.mass,G3,8.633368226885331e-4,2.8626047516190194e-4,59.0612915181789,2.9054337228063014e-4,0.001436130273096436,b
root.mass,G2,0.008248548312292204,0.001488648095148762,43.72240490833662,0.005247837113943915,0.011249259510640493,a
root.mass,G6,0.005550069105723491,0.0014110137132344052,38.85852639590033,0.002695692220121939,0.008404445991325043,ab
root.mass,G1,0.00514654241383135,0.0014053199798871147,39.24731415236985,0.0023045870343755717,0.007988497793287128,ab
root.mass,G3,0.004810929849786434,0.0013805250881091724,36.00580044520905,0.0020111108617259857,0.007610748837846883,ab
root.mass,G5,0.003259467972214321,0.001395180289595997,37.2918752656297,4.333108386927486e-4,0.006085625105735893,b
root.mass,G4,0.0030458831353202373,0.0022157679118230697,98.15389848417404,-0.0013511500047985394,0.007442916275439014,b
no.ramets,G1,5.914029386346711,0.3466275669412928,42.81457910775953,5.214900716577498,6.613158056115925,a
