Variable,gene,contrast,estimate,SE,t.ratio,df,p.value,stars
total.mass,G1,Control - Herbivory,-0.00559933783504984,0.009421096928282134,-0.5943403276364377,28.485211254164533,0.5569760108657282,ns
total.mass,G2,Control - Herbivory,0.017884324551252273,0.009920182408887352,1.802822147224829,32.44869905280724,0.08071077227901657,ns
total.mass,G3,Control - Herbivory,0.006913399680841983,0.00928091942461778,0.7449046117676752,26.551499951602583,0.4628724314852335,ns
total.mass,G4,Control - Herbivory,0.009339784117440571,0.014275354065498085,0.6542593671994289,82.3235939030285,0.5147683609293107,ns
total.mass,G5,Control - Herbivory,0.0035998074285238735,0.00936701374509327,0.384306837428264,27.415757375418238,0.7037158367292308,ns
total.mass,G6,Control - Herbivory,-0.007718707150187546,0.009458665868024638,-0.8160460743497574,28.44588569506213,0.42125503923475593,ns
total.leaf.mass,G1,Control - Herbivory,-0.0032758762959789267,0.0018127599721246873,-1.8071208247936763,90.529176552038,0.07406529226885057,ns
total.leaf.mass,G2,Control - Herbivory,-0.0019009476280260425,0.0019327744838352457,-0.9835330732708927,88.29930299908868,0.32803244499737083,ns
total.leaf.mass,G3,Control - Herbivory,-0.0018264442273362024,0.0017657577632859754,-1.0343685103993498,80.69974104315854,0.30405369926951886,ns
total.leaf.mass,G4,Control - Herbivory,0.0034247890750718803,0.0030661481155352045,1.116967917407367,120.3051806474817,0.2662338257244113,ns
total.leaf.mass,G5,Control - Herbivory,-0.0029169411605194985,0.00179037144899999,-1.629237978604246,83.52970665135727,0.10702844466571873,ns
total.leaf.mass,G6,Control - Herbivory,-0.004452630264412631,0.0018172671577286548,-2.4501792405569214,87.07699689809915,0.01627956872189216,*
stem.mass,G1,Control - Herbivory,-0.0012773246018377038,0.006649756680693618,-0.19208591579691747,18.027004055440454,0.849822105346242,ns
stem.mass,G2,Control - Herbivory,0.009642165047379221,0.006919995064569331,1.393377445707659,20.492654291159138,0.17843594268772228,ns
stem.mass,G3,Control - Herbivory,0.006251821378484553,0.006578508586401655,0.9503402323450041,17.18665219325213,0.35511328403133813,ns
stem.mass,G4,Control - Herbivory,0.0019544550930881517,0.009328185846204253,0.20952145736713018,53.77818046554063,0.8348328900892246,ns
stem.mass,G5,Control - Herbivory,0.00496189302580445,0.006624293557829962,0.7490448577629018,17.62782594142756,0.46370904637285426,ns
stem.mass,G6,Control - Herbivory,-6.733921129917507e-4,0.006672098844996019,-0.10092657927224585,18.130146494298398,0.92071650371338,ns
petiole.mass,G1,Control - Herbivory,-7.931692731007241e-4,5.855942209401283e-4,-1.3544690926548923,65.87583649910374,0.1802144126624692,ns
petiole.mass,G2,Control - Herbivory,-4.199750754580665e-4,6.239458436948299e-4,-0.6730953971439148,68.15134255584687,0.5031627476265887,ns
petiole.mass,G3,Control - Herbivory,-3.86881363181384e-4,5.725209503238043e-4,-0.6757505781449099,59.06129151817867,0.5018364699954928,ns
petiole.mass,G4,Control - Herbivory,0.0014056416670064089,9.688511796779418e-4,1.450833416411447,114.61834442550496,0.1495575519915516,ns
petiole.mass,G5,Control - Herbivory,-2.2374256026185912e-4,5.797090075443007e-4,-0.38595667369332876,61.29172319869948,0.7008652263948538,ns
petiole.mass,G6,Control - Herbivory,-0.0011903247244917229,5.87614827109307e-4,-2.0256887157653374,64.03910494000442,0.04696794443117036,*
root.mass,G1,Control - Herbivory,-4.894750861757312e-4,0.0028106399597742303,-0.174150760389477,39.24731415237022,0.8626421962365259,ns
root.mass,G2,Control - Herbivory,0.010005637309866427,0.002977296190297524,3.360645589267541,43.72240490833662,0.0016224845603596187,**
root.mass,G3,Control - Herbivory,0.0025148798503556277,0.002761050176218344,0.9108417775297797,36.00580044520905,0.3684365768042387,ns
root.mass,G4,Control - Herbivory,0.001168004152164288,0.0044315358236461395,0.26356644708409194,98.15389848417404,0.792666545767601,ns
root.mass,G5,Control - Herbivory,0.0014808099630439883,0.002790360579191994,0.5306876731582795,37.2918752656297,0.598781646569817,ns
root.mass,G6,Control - Herbivory,-0.001653850273820021,0.0028220274264688103,-0.5860503899813179,38.85852639590033,0.5612305248990078,ns
no.ramets,G1,Control - Herbivory,0.039696141511280265,0.693255133882585,0.05726050853595772,42.814579107758526,0.9546040842414865,ns
no.ramets,G2,Control - Herbivory,1.3153600526879765,0.7353299560332884,1.788802485055335,47.25190139305662,0.0800582378335237,ns
no.ramets,G3,Control - Herbivory,0.6657711762852717,0.6805032034700323,0.9783512743075435,39.11197294412726,0.33391361187777513,ns
no.ramets,G4,Control - Herbivory,1.4630502165025474,1.1032763500146083,1.3260958747852933,101.67750129512132,0.18777919392325956,ns
no.ramets,G5,Control - Herbivory,0.6742391889953153,0.6879555444222935,0.9800621485818588,40.53398714432636,0.33286909961772526,ns
no.ramets,G6,Control - Herbivory,-0.2533600212653565,0.6960380551445718,-0.3640031164858248,42.272971830567734,0.7176700436063725,ns
no.leaves,G1,Control - Herbivory,-0.37362637362637563,0.505702927137779,-0.7388258077544823,95.67311968052545,0.4618214881450301,ns
no.leaves,G2,Control - Herbivory,0.03333333333333299,0.5390596125405678,0.06183608001392321,92.42324926506215,0.9508268982623679,ns
no.leaves,G3,Control - Herbivory,-0.0961538461538457,0.4921960219505766,-0.1953568128665227,85.35624305955729,0.8455779131646421,ns
no.leaves,G4,Control - Herbivory,1.000000000000001,0.8581311986120841,1.1653229734769828,121.0578868732808,0.2461792953013561,ns
no.leaves,G5,Control - Herbivory,-0.12820512820512736,0.49921017278866814,-0.25681593684069565,88.24435478742402,0.7979186957205644,ns
no.leaves,G6,Control - Herbivory,-1.1868131868131877,0.50683298980667435,-2.3416257636778615,91.91257057709664,0.021360600459464595,*
stem.length,G1,Control - Herbivory,-0.5769252412882406,2.0194516157409694,-0.2856841118605149,22.208600455399754,0.7777677118144778,ns
stem.length,G2,Control - Herbivory,1.9144808029165818,2.1138988143939166,0.9056634072929785,25.394942595248846,0.37362702400619974,ns
stem.length,G3,Control - Herbivory,2.1554408923962924,1.9938780130603801,1.0810294703475523,20.957573351064234,0.2919672354454296,ns
stem.length,G4,Control - Herbivory,0.14001601425679788,2.9449509783854237,0.047544429528522066,67.33318679785887,0.9622200605861254,ns
stem.length,G5,Control - Herbivory,0.508423642335476,2.0099991522586698,0.25294719242252006,21.56909830033612,0.8027041758000064,ns
stem.length,G6,Control - Herbivory,-0.7686877685190134,2.0269728119271226,-0.37922944205067644,22.281153277851804,0.708107576172091,ns
