Traits,effect,dfn,dfd,F,parametric.p.value,resampled.p.value
Total mass,treatment1st,1,7,0.538,0.487,0.495
Total mass,gene,5,34,0.479,0.789,0.799
Total mass,gene:treatment1st,5,34,1.206,0.328,0.338
Leaf mass,treatment1st,1,7,6.072,0.043,0.047
Leaf mass,gene,5,34,2.142,0.084,0.1
Leaf mass,gene:treatment1st,5,34,1.405,0.247,0.282
Stem mass,treatment1st,1,7,0.929,0.367,0.384
Stem mass,gene,5,34,0.404,0.843,0.858
Stem mass,gene:treatment1st,5,34,0.588,0.709,0.702
Petiole mass,treatment1st,1,7,0.819,0.396,0.389
Petiole mass,gene,5,34,2.038,0.098,0.109
Petiole mass,gene:treatment1st,5,34,1.508,0.213,0.218
Root mass,treatment1st,1,7,1.14,0.321,0.343
Root mass,gene,5,34,0.695,0.631,0.681
Root mass,gene:treatment1st,5,34,0.949,0.462,0.473
Number of ramets,treatment1st,1,7,2.325,0.171,0.164
Number of ramets,gene,5,34,0.893,0.497,0.517
Number of ramets,gene:treatment1st,5,34,0.947,0.463,0.476
Number of leaves,treatment1st,1,7,0.606,0.462,0.485
Number of leaves,gene,5,34,3.565,0.011,0.024
Number of leaves,gene:treatment1st,5,34,1.487,0.22,0.229
Stem length,treatment1st,1,7,0.322,0.588,0.587
Stem length,gene,5,34,0.96,0.456,0.448
Stem length,gene:treatment1st,5,34,0.588,0.709,0.699
Total leaf area,treatment1st,1,7,1.583,0.249,0.239
Total leaf area,gene,5,34,2.052,0.096,0.108
Total leaf area,gene:treatment1st,5,34,1.321,0.279,0.311
Mean leaf area,treatment1st,1,7,1.755,0.227,0.238
Mean leaf area,gene,5,34,6.099,0,0.003
Mean leaf area,gene:treatment1st,5,34,1.101,0.378,0.373
Specific leaf area,treatment1st,1,7,3.964,0.087,0.083
Specific leaf area,gene,5,34,3.117,0.02,0.027
Specific leaf area,gene:treatment1st,5,34,4.211,0.004,0.007
Root-to-shoot ratio,treatment1st,1,7,0.65,0.447,0.471
Root-to-shoot ratio,gene,5,34,0.788,0.566,0.603
Root-to-shoot ratio,gene:treatment1st,5,34,0.459,0.804,0.874
