Traits,effect,dfn,dfd,F,parametric.p.value,resampled.p.value
Total mass,fw1st_g,1,7,8.696,0.021,0.018
Total mass,treatment1st,1,7,1.091,0.331,0.347
Total mass,gene,5,34,1.022,0.42,0.431
Total mass,gene:treatment1st,5,34,0.954,0.459,0.484
Leaf mass,fw1st_g,1,7,0.029,0.869,0.86
Leaf mass,treatment1st,1,7,6.017,0.044,0.047
Leaf mass,gene,5,34,2.057,0.095,0.112
Leaf mass,gene:treatment1st,5,34,1.386,0.254,0.283
Stem mass,fw1st_g,1,7,10.848,0.013,0.011
Stem mass,treatment1st,1,7,2.055,0.195,0.211
Stem mass,gene,5,34,0.615,0.689,0.698
Stem mass,gene:treatment1st,5,34,0.347,0.88,0.88
Petiole mass,fw1st_g,1,7,0.841,0.39,0.391
Petiole mass,treatment1st,1,7,0.802,0.4,0.392
Petiole mass,gene,5,34,1.718,0.157,0.176
Petiole mass,gene:treatment1st,5,34,1.455,0.23,0.226
Root mass,fw1st_g,1,7,2.135,0.187,0.18
Root mass,treatment1st,1,7,1.362,0.281,0.293
Root mass,gene,5,34,0.921,0.479,0.531
Root mass,gene:treatment1st,5,34,0.799,0.558,0.581
Number of ramets,fw1st_g,1,7,6.041,0.044,0.038
Number of ramets,treatment1st,1,7,3.467,0.105,0.103
Number of ramets,gene,5,34,1.812,0.137,0.158
Number of ramets,gene:treatment1st,5,34,0.716,0.616,0.637
Number of leaves,fw1st_g,1,7,10.329,0.015,0.016
Number of leaves,treatment1st,1,7,0.805,0.399,0.423
Number of leaves,gene,5,34,2.746,0.035,0.052
Number of leaves,gene:treatment1st,5,34,1.91,0.118,0.13
Stem length,fw1st_g,1,7,7.668,0.028,0.023
Stem length,treatment1st,1,7,0.67,0.44,0.431
Stem length,gene,5,34,2.618,0.042,0.048
Stem length,gene:treatment1st,5,34,0.355,0.876,0.873
Total leaf area,fw1st_g,1,7,0.343,0.577,0.569
Total leaf area,treatment1st,1,7,1.667,0.238,0.238
Total leaf area,gene,5,34,2.174,0.08,0.103
Total leaf area,gene:treatment1st,5,34,1.343,0.27,0.303
Mean leaf area,fw1st_g,1,7,0.002,0.968,0.967
Mean leaf area,treatment1st,1,7,1.743,0.228,0.242
Mean leaf area,gene,5,34,5.222,0.001,0.004
Mean leaf area,gene:treatment1st,5,34,1.089,0.384,0.379
Specific leaf area,fw1st_g,1,7,0.285,0.61,0.623
Specific leaf area,treatment1st,1,7,3.866,0.09,0.084
Specific leaf area,gene,5,34,2.279,0.069,0.084
Specific leaf area,gene:treatment1st,5,34,4.157,0.005,0.009
Root-to-shoot ratio,fw1st_g,1,7,0.106,0.754,0.762
Root-to-shoot ratio,treatment1st,1,7,0.644,0.449,0.482
Root-to-shoot ratio,gene,5,34,0.703,0.625,0.709
Root-to-shoot ratio,gene:treatment1st,5,34,0.471,0.795,0.87
