variable,gene,comparison,Stat,p.value,p.adjust,sig
total.mass,G1,Control vs Herbivory,-0.8016,0.4228,0.8015,
total.mass,G2,Control vs Herbivory,2.228,0.02588,0.5572,*
total.mass,G3,Control vs Herbivory,0.984,0.3251,0.8015,
total.mass,G4,Control vs Herbivory,1.347,0.178,0.6911,
total.mass,G5,Control vs Herbivory,0.6891,0.4908,0.8015,
total.mass,G6,Control vs Herbivory,-0.7023,0.4825,0.8015,
total.leaf.mass,G1,Control vs Herbivory,-1.528,0.1265,0.363,
total.leaf.mass,G2,Control vs Herbivory,-1.136,0.2559,0.4826,
total.leaf.mass,G3,Control vs Herbivory,-1.115,0.2649,0.4855,
total.leaf.mass,G4,Control vs Herbivory,2.203,0.02758,0.2531,*
total.leaf.mass,G5,Control vs Herbivory,-1.988,0.04681,0.2667,*
total.leaf.mass,G6,Control vs Herbivory,-1.818,0.06913,0.2667,
stem.mass,G1,Control vs Herbivory,-0.08332,0.9336,0.948,
stem.mass,G2,Control vs Herbivory,2.596,0.009445,0.1604,**
stem.mass,G3,Control vs Herbivory,1.327,0.1847,0.5449,
stem.mass,G4,Control vs Herbivory,1.105,0.269,0.6463,
stem.mass,G5,Control vs Herbivory,1.631,0.1029,0.495,
stem.mass,G6,Control vs Herbivory,-0.1119,0.9109,0.948,
petiole.mass,G1,Control vs Herbivory,-1.308,0.1907,0.5421,
petiole.mass,G2,Control vs Herbivory,-0.8255,0.4091,0.6752,
petiole.mass,G3,Control vs Herbivory,-0.9208,0.3571,0.6752,
petiole.mass,G4,Control vs Herbivory,1.255,0.2094,0.5421,
petiole.mass,G5,Control vs Herbivory,-0.438,0.6614,0.8523,
petiole.mass,G6,Control vs Herbivory,-1.626,0.1039,0.5272,
root.mass,G1,Control vs Herbivory,-0.398,0.6907,0.8128,
root.mass,G2,Control vs Herbivory,1.827,0.06764,0.4928,
root.mass,G3,Control vs Herbivory,1.355,0.1754,0.5301,
root.mass,G4,Control vs Herbivory,0.8215,0.4113,0.6244,
root.mass,G5,Control vs Herbivory,1.011,0.312,0.6244,
root.mass,G6,Control vs Herbivory,-0.8714,0.3835,0.6244,
no.ramets,G1,Control vs Herbivory,0.1306,0.8961,1,
no.ramets,G2,Control vs Herbivory,1.997,0.04582,0.504,*
no.ramets,G3,Control vs Herbivory,1.045,0.2962,0.6306,
no.ramets,G4,Control vs Herbivory,1.583,0.1133,0.5988,
no.ramets,G5,Control vs Herbivory,1.074,0.2827,0.6306,
no.ramets,G6,Control vs Herbivory,-0.4261,0.6701,0.963,
no.leaves,G1,Control vs Herbivory,-0.6797,0.4967,0.7028,
no.leaves,G2,Control vs Herbivory,0.05411,0.9568,0.9568,
no.leaves,G3,Control vs Herbivory,-0.2247,0.8222,0.8544,
no.leaves,G4,Control vs Herbivory,3,0.0027,0.09508,**
no.leaves,G5,Control vs Herbivory,-0.2827,0.7774,0.8411,
no.leaves,G6,Control vs Herbivory,-2.063,0.03911,0.1844,*
stem.length,G1,Control vs Herbivory,-0.2689,0.788,0.9474,
stem.length,G2,Control vs Herbivory,1.577,0.1149,0.7023,
stem.length,G3,Control vs Herbivory,1.423,0.1548,0.7023,
stem.length,G4,Control vs Herbivory,0.8,0.4237,0.9021,
stem.length,G5,Control vs Herbivory,0.6103,0.5417,0.9242,
stem.length,G6,Control vs Herbivory,-0.3747,0.7079,0.9344,
total.leaf.area,G1,Control vs Herbivory,-1.112,0.266,0.4877,
total.leaf.area,G2,Control vs Herbivory,-1.684,0.09218,0.2897,
total.leaf.area,G3,Control vs Herbivory,-0.7384,0.4603,0.6464,
total.leaf.area,G4,Control vs Herbivory,1.65,0.09899,0.297,
total.leaf.area,G5,Control vs Herbivory,-1.882,0.05987,0.2557,
total.leaf.area,G6,Control vs Herbivory,-1.71,0.08726,0.2897,
mla,G1,Control vs Herbivory,-1.558,0.1192,0.2314,
mla,G2,Control vs Herbivory,-2.035,0.04186,0.1121,*
mla,G3,Control vs Herbivory,-0.4085,0.6829,0.7432,
mla,G4,Control vs Herbivory,0.3878,0.6982,0.7432,
mla,G5,Control vs Herbivory,-2.538,0.01114,0.08924,*
mla,G6,Control vs Herbivory,-0.7482,0.4543,0.5657,
sla,G1,Control vs Herbivory,0.3934,0.694,0.9503,
sla,G2,Control vs Herbivory,-1.048,0.2948,0.9503,
sla,G3,Control vs Herbivory,0.2484,0.8038,0.9503,
sla,G4,Control vs Herbivory,-1.839,0.06592,0.3876,
sla,G5,Control vs Herbivory,1.809,0.07047,0.3876,
sla,G6,Control vs Herbivory,0.4448,0.6565,0.9503,
ratio,G1,Control vs Herbivory,0.203,0.8391,0.9387,
ratio,G2,Control vs Herbivory,1.316,0.1881,0.4598,
ratio,G3,Control vs Herbivory,0.4501,0.6526,0.7976,
ratio,G4,Control vs Herbivory,-0.9326,0.351,0.565,
ratio,G5,Control vs Herbivory,1.208,0.227,0.4832,
ratio,G6,Control vs Herbivory,-1.273,0.2031,0.4787,
