variable,group,group_letter
mla,G1,a
mla,G2,a
mla,G3,a
mla,G4,b
mla,G5,a
mla,G6,a
no.leaves,G1,a
no.leaves,G2,a
no.leaves,G3,b
no.leaves,G4,c
no.leaves,G5,a
no.leaves,G6,a
no.ramets,G1,a
no.ramets,G2,ab
no.ramets,G3,c
no.ramets,G4,b
no.ramets,G5,ab
no.ramets,G6,ac
petiole.mass,G1,ab
petiole.mass,G2,a
petiole.mass,G3,bc
petiole.mass,G4,c
petiole.mass,G5,a
petiole.mass,G6,abc
ratio,G1,a
ratio,G2,a
ratio,G3,a
ratio,G4,b
ratio,G5,a
ratio,G6,a
root.mass,G1,ab
root.mass,G2,a
root.mass,G3,b
root.mass,G4,ab
root.mass,G5,a
root.mass,G6,ab
sla,G1,a
sla,G2,ab
sla,G3,a
sla,G4,b
sla,G5,a
sla,G6,ab
stem.length,G1,a
stem.length,G2,ab
stem.length,G3,a
stem.length,G4,ab
stem.length,G5,b
stem.length,G6,ab
stem.mass,G1,abc
stem.mass,G2,ad
stem.mass,G3,bc
stem.mass,G4,b
stem.mass,G5,d
stem.mass,G6,acd
total.leaf.area,G1,a
total.leaf.area,G2,a
total.leaf.area,G3,ab
total.leaf.area,G4,b
total.leaf.area,G5,a
total.leaf.area,G6,a
total.leaf.mass,G1,abc
total.leaf.mass,G2,ab
total.leaf.mass,G3,c
total.leaf.mass,G4,ac
total.leaf.mass,G5,b
total.leaf.mass,G6,abc
total.mass,G1,ab
total.mass,G2,a
total.mass,G3,bc
total.mass,G4,c
total.mass,G5,a
total.mass,G6,ab
