variable,gene,comparison,Stat,p.value,p.adjust,sig
total.mass,G1,Control vs Herbivory,1.28,0.2005,0.4563,
total.mass,G2,Control vs Herbivory,1.329,0.1838,0.4493,
total.mass,G3,Control vs Herbivory,2.254,0.02419,0.2246,*
total.mass,G4,Control vs Herbivory,1.293,0.1959,0.4563,
total.mass,G5,Control vs Herbivory,1.333,0.1824,0.4493,
total.mass,G6,Control vs Herbivory,0.4551,0.649,0.8082,
total.leaf.mass,G1,Control vs Herbivory,1.816,0.06933,0.1998,
total.leaf.mass,G2,Control vs Herbivory,2.259,0.0239,0.1531,*
total.leaf.mass,G3,Control vs Herbivory,2.6,0.009313,0.1353,**
total.leaf.mass,G4,Control vs Herbivory,1.521,0.1283,0.3136,
total.leaf.mass,G5,Control vs Herbivory,1.862,0.06256,0.1966,
total.leaf.mass,G6,Control vs Herbivory,1.329,0.1838,0.3568,
stem.mass,G1,Control vs Herbivory,0.6668,0.5049,0.7488,
stem.mass,G2,Control vs Herbivory,1.029,0.3034,0.589,
stem.mass,G3,Control vs Herbivory,1.857,0.06328,0.4641,
stem.mass,G4,Control vs Herbivory,0.4819,0.6299,0.7995,
stem.mass,G5,Control vs Herbivory,0.7576,0.4487,0.7404,
stem.mass,G6,Control vs Herbivory,-0.03981,0.9682,0.9891,
petiole.mass,G1,Control vs Herbivory,1.267,0.2052,0.3989,
petiole.mass,G2,Control vs Herbivory,0.5753,0.5651,0.7172,
petiole.mass,G3,Control vs Herbivory,2.172,0.02985,0.2949,*
petiole.mass,G4,Control vs Herbivory,1.155,0.2479,0.4295,
petiole.mass,G5,Control vs Herbivory,1.804,0.07128,0.343,
petiole.mass,G6,Control vs Herbivory,0.5578,0.577,0.7185,
root.mass,G1,Control vs Herbivory,1.826,0.06784,0.4477,
root.mass,G2,Control vs Herbivory,0.5365,0.5916,0.8308,
root.mass,G3,Control vs Herbivory,1.952,0.05095,0.4477,
root.mass,G4,Control vs Herbivory,0.6495,0.516,0.8146,
root.mass,G5,Control vs Herbivory,1.069,0.2851,0.7275,
root.mass,G6,Control vs Herbivory,0.2178,0.8276,0.9148,
no.ramets,G1,Control vs Herbivory,1.047,0.2953,0.4976,
no.ramets,G2,Control vs Herbivory,2.126,0.0335,0.1579,*
no.ramets,G3,Control vs Herbivory,2.712,0.006694,0.07123,**
no.ramets,G4,Control vs Herbivory,0.7117,0.4766,0.6838,
no.ramets,G5,Control vs Herbivory,1.121,0.2623,0.4904,
no.ramets,G6,Control vs Herbivory,-0.04689,0.9626,0.9637,
no.leaves,G1,Control vs Herbivory,1.848,0.06453,0.1577,
no.leaves,G2,Control vs Herbivory,2.19,0.02854,0.08071,*
no.leaves,G3,Control vs Herbivory,2.906,0.003659,0.03029,**
no.leaves,G4,Control vs Herbivory,1.272,0.2035,0.3422,
no.leaves,G5,Control vs Herbivory,1.718,0.08581,0.1953,
no.leaves,G6,Control vs Herbivory,1.253,0.21,0.3422,
stem.length,G1,Control vs Herbivory,-0.393,0.6943,0.8607,
stem.length,G2,Control vs Herbivory,1.1,0.2715,0.6179,
stem.length,G3,Control vs Herbivory,1.685,0.09203,0.5218,
stem.length,G4,Control vs Herbivory,1.821,0.06856,0.5028,
stem.length,G5,Control vs Herbivory,0.6022,0.547,0.7668,
stem.length,G6,Control vs Herbivory,0.3939,0.6937,0.8607,
total.leaf.area,G1,Control vs Herbivory,-1.147,0.2515,0.664,
total.leaf.area,G2,Control vs Herbivory,0.4685,0.6394,0.8151,
total.leaf.area,G3,Control vs Herbivory,-0.02505,0.98,0.98,
total.leaf.area,G4,Control vs Herbivory,0.9123,0.3616,0.7458,
total.leaf.area,G5,Control vs Herbivory,1.112,0.266,0.6752,
total.leaf.area,G6,Control vs Herbivory,-0.9733,0.3304,0.7034,
mla,G1,Control vs Herbivory,-2.588,0.009655,0.03748,**
mla,G2,Control vs Herbivory,-1.124,0.2612,0.3918,
mla,G3,Control vs Herbivory,-1.85,0.06433,0.1327,
mla,G4,Control vs Herbivory,0.2878,0.7735,0.8571,
mla,G5,Control vs Herbivory,0.2128,0.8315,0.8664,
mla,G6,Control vs Herbivory,-1.864,0.06226,0.1326,
sla,G1,Control vs Herbivory,-3.562,3.674e-4,0.01265,***
sla,G2,Control vs Herbivory,-2.869,0.004122,0.017,**
sla,G3,Control vs Herbivory,-3.111,0.001863,0.01488,**
sla,G4,Control vs Herbivory,-1.655,0.09801,0.1659,
sla,G5,Control vs Herbivory,-1.575,0.1154,0.1793,
sla,G6,Control vs Herbivory,-1.795,0.07272,0.1297,
ratio,G1,Control vs Herbivory,0.4361,0.6628,0.7675,
ratio,G2,Control vs Herbivory,-1.25,0.2114,0.4864,
ratio,G3,Control vs Herbivory,-0.9751,0.3295,0.594,
ratio,G4,Control vs Herbivory,-1.089,0.2761,0.5695,
ratio,G5,Control vs Herbivory,-1.653,0.09841,0.3418,
ratio,G6,Control vs Herbivory,-0.614,0.5392,0.7117,
