Variable,gene,emmean,SE,df,lower.CL,upper.CL,.group
total.mass,G4,0.6062562499999968,0.05120959339808775,27.885344390069438,0.5013387186212036,0.7111737813787901,a
total.mass,G3,0.5109937499999968,0.051209593398087734,27.88534439006948,0.4060762186212036,0.61591128137879,b
total.mass,G1,0.42958749999999574,0.05120959339808779,27.885344390069395,0.32466996862120234,0.5345050313787891,bc
total.mass,G6,0.41764999999999686,0.05120959339808773,27.885344390069438,0.31273246862120363,0.5225675313787901,c
total.mass,G2,0.35843932418613333,0.051999383814448456,29.361191461010016,0.2521454420114458,0.4647332063608209,c
total.mass,G5,0.3467812499999967,0.05120959339808774,27.885344390069438,0.24186371862120346,0.45169878137878994,c
total.leaf.mass,G3,0.13608125000000043,0.014087804224886044,24.31984287621557,0.10702567347966478,0.16513682652033607,a
total.leaf.mass,G4,0.13382500000000042,0.014087804224886046,24.31984287621557,0.10476942347966477,0.16288057652033605,a
total.leaf.mass,G1,0.10774375000000065,0.014087804224886036,24.319842876215603,0.07868817347966503,0.13679932652033627,b
total.leaf.mass,G6,0.10396250000000047,0.014087804224886044,24.31984287621557,0.07490692347966482,0.13301807652033612,b
total.leaf.mass,G5,0.09014375000000042,0.014087804224886043,24.31984287621557,0.06108817347966478,0.11919932652033607,b
total.leaf.mass,G2,0.08792235505164407,0.014266470917134446,25.431460163004058,0.058565263761245795,0.11727944634204235,b
stem.mass,G4,0.3019249999999995,0.02593385358696538,25.611684348278793,0.24857783621036947,0.3552721637896295,a
stem.mass,G3,0.2649687499999995,0.025933853586965382,25.611684348278793,0.21162158621036944,0.31831591378962953,ab
stem.mass,G1,0.2312812499999995,0.025933853586965393,25.61168434827872,0.1779340862103694,0.28462841378962955,bc
stem.mass,G6,0.2192062499999995,0.025933853586965382,25.611684348278793,0.16585908621036946,0.2725534137896295,cd
stem.mass,G2,0.1928784498993916,0.026290043209329216,26.858028800298733,0.13892239181546823,0.24683450798331497,cd
stem.mass,G5,0.18078749999999955,0.025933853586965386,25.611684348278793,0.12744033621036951,0.23413466378962958,d
petiole.mass,G4,0.12008750000000003,0.019034291188761192,82.04437228232973,0.0822225379183528,0.15795246208164726,a
petiole.mass,G3,0.05310625000000002,0.019034291188761186,82.04437228232973,0.015241287918352803,0.09097121208164724,b
petiole.mass,G6,0.04542500000000001,0.01903429118876119,82.04437228232973,0.007560037918352781,0.08328996208164724,b
petiole.mass,G1,0.04255000000000017,0.019034291188761217,82.04437228232838,0.004685037918352883,0.08041496208164746,b
petiole.mass,G2,0.036562207106116594,0.01972206128753875,82.26236919351909,-0.0026693820322513453,0.07579379624448454,b
petiole.mass,G5,0.035437500000000004,0.019034291188761186,82.04437228233019,-0.002427462081647222,0.07330246208164723,b
root.mass,G3,0.0568375000000002,0.004857263443400732,27.490261871365213,0.046879528607687355,0.06679547139231305,a
root.mass,G4,0.05041875000000021,0.004857263443400731,27.490261871365213,0.04046077860768737,0.06037672139231306,ab
root.mass,G6,0.049056250000000204,0.00485726344340073,27.490261871365256,0.03909827860768736,0.05901422139231305,abc
root.mass,G1,0.048012500000000305,0.00485726344340073,27.490261871365213,0.03805452860768746,0.05797047139231315,bcd
root.mass,G2,0.0413718113602627,0.004930816368532965,28.92700997118743,0.031286054151075035,0.05145756856945037,cd
root.mass,G5,0.04041250000000021,0.00485726344340073,27.490261871365213,0.030454528607687367,0.05037047139231306,d
no.ramets,G3,17.375000000000004,1.0104971729264685,44.21077156658383,15.338750951853001,19.411249048147006,a
no.ramets,G6,15.187500000000004,1.0104971729264685,44.21077156658383,13.151250951853001,17.223749048147006,b
no.ramets,G1,14.874999999999984,1.010497172926468,44.210771566584434,12.838750951852983,16.911249048146985,bc
no.ramets,G5,13.125000000000004,1.0104971729264682,44.21077156658383,11.088750951853001,15.161249048147006,bcd
no.ramets,G2,12.941025175570191,1.0346416698694607,46.87866357686143,10.859452389437575,15.022597961702807,cd
no.ramets,G4,11.562500000000004,1.0104971729264687,44.21077156658383,9.526250951853001,13.598749048147006,d
no.leaves,G3,12.874999999999988,0.7006988665696728,41.71965319898649,11.460650868421812,14.289349131578163,a
no.leaves,G1,10.374999999999988,0.7006988665696733,41.719653198986386,8.960650868421812,11.789349131578163,b
no.leaves,G6,10.187499999999988,0.700698866569673,41.71965319898649,8.773150868421812,11.601849131578163,bc
no.leaves,G2,9.593817642924563,0.7167255020083851,44.269921274690894,8.14960101756415,11.038034268284976,bc
no.leaves,G5,8.874999999999988,0.7006988665696732,41.71965319898649,7.460650868421812,10.289349131578163,c
