Variable,gene,contrast,estimate,SE,t.ratio,df,p.value,stars
total.mass,G1,Control - Herbivory,0.09239999999999181,0.10241918679617558,0.9021747085717157,27.885344390069356,0.3746911352144251,ns
total.mass,G2,Control - Herbivory,0.11372135162772093,0.10399876762889694,1.0934874924048859,29.361191461010016,0.2830703557841,ns
total.mass,G3,Control - Herbivory,0.23866249999999412,0.10241918679617547,2.3302518548107263,27.885344390069438,0.027256290020490445,*
total.mass,G4,Control - Herbivory,0.21536249999999413,0.10241918679617548,2.102755418558314,27.885344390069523,0.04464082860954402,*
total.mass,G5,Control - Herbivory,0.10958749999999395,0.10241918679617548,1.0699899445411936,27.88534439006948,0.2937984778912822,ns
total.mass,G6,Control - Herbivory,0.0475499999999942,0.10241918679617547,0.46426847827471535,27.885344390069438,0.6460597474028651,ns
total.leaf.mass,G1,Control - Herbivory,0.04191250000000205,0.028175608449772075,1.4875455156440855,24.319842876215603,0.14972282685350655,ns
total.leaf.mass,G2,Control - Herbivory,0.05675528989671415,0.028532941834268896,1.98911455490192,25.431460163004058,0.057547178362133924,ns
total.leaf.mass,G3,Control - Herbivory,0.09668750000000147,0.028175608449772092,3.431602911871937,24.319842876215542,0.0021526663021209664,**
total.leaf.mass,G4,Control - Herbivory,0.06602500000000144,0.028175608449772092,2.3433389244353835,24.31984287621551,0.02761065579938294,*
total.leaf.mass,G5,Control - Herbivory,0.05081250000000144,0.028175608449772092,1.8034215690704083,24.319842876215542,0.08372600367593847,ns
total.leaf.mass,G6,Control - Herbivory,0.039250000000001554,0.028175608449772092,1.393048887301635,24.31984287621551,0.17620897134687294,ns
stem.mass,G1,Control - Herbivory,0.023862499999998697,0.051867707173930765,0.4600646780082122,25.611684348278793,0.6493517815918388,ns
stem.mass,G2,Control - Herbivory,0.0454931002012149,0.052580086418658425,0.8652153942651442,26.858028800298847,0.3945833205214121,ns
stem.mass,G3,Control - Herbivory,0.08798749999999891,0.05186770717393075,1.6963830636458583,25.61168434827886,0.10193664131869107,ns
stem.mass,G4,Control - Herbivory,0.037999999999999215,0.05186770717393075,0.7326331174148837,25.611684348278793,0.47043461599514025,ns
stem.mass,G5,Control - Herbivory,0.030674999999999175,0.05186770717393075,0.5914084441237215,25.61168434827886,0.559431026063761,ns
stem.mass,G6,Control - Herbivory,-0.002112500000000954,0.05186770717393075,-0.04072861738262296,25.611684348278825,0.9678280903022569,ns
petiole.mass,G1,Control - Herbivory,0.012475000000000378,0.03806858237752244,0.32769804444743994,82.04437228232973,0.7439747312357511,ns
petiole.mass,G2,Control - Herbivory,0.0047755857877668575,0.039444122575077505,0.12107217694289081,82.26236919351864,0.9039291119485336,ns
petiole.mass,G3,Control - Herbivory,0.03318750000000005,0.03806858237752238,0.8717818717514323,82.04437228232973,0.38587140475236614,ns
petiole.mass,G4,Control - Herbivory,0.10427500000000009,0.038068582377522385,2.7391353574954587,82.04437228232973,0.007554826164093976,**
petiole.mass,G5,Control - Herbivory,0.020349999999999986,0.03806858237752239,0.534561539439295,82.04437228232973,0.5943987973280893,ns
petiole.mass,G6,Control - Herbivory,0.007975,0.03806858237752239,0.2094903330235076,82.04437228232973,0.8345847895413869,ns
root.mass,G1,Control - Herbivory,0.014150000000000792,0.009714526886801458,1.4565814851184924,27.490261871365213,0.15655987210873798,ns
root.mass,G2,Control - Herbivory,0.0061063772794756,0.009861632737065931,0.6192055050401717,28.92700997118743,0.5406274956091192,ns
root.mass,G3,Control - Herbivory,0.020800000000000526,0.009714526886801461,2.141123313813689,27.490261871365295,0.04127856997170085,*
root.mass,G4,Control - Herbivory,0.0070625000000005215,0.00971452688680146,0.7270040097985536,27.490261871365256,0.4733695772037333,ns
root.mass,G5,Control - Herbivory,0.007750000000000531,0.00971452688680146,0.7977743116373467,27.490261871365256,0.43183910320531604,ns
root.mass,G6,Control - Herbivory,0.0024375000000005226,0.00971452688680146,0.2509128883375892,27.490261871365256,0.8037474516030295,ns
no.ramets,G1,Control - Herbivory,1.7500000000000167,2.0209943458529356,0.8659103889088076,44.210771566584434,0.39121420790593353,ns
no.ramets,G2,Control - Herbivory,4.867949648859641,2.0692833397389223,2.3524809557853112,46.87866357686143,0.022898909614781252,*
no.ramets,G3,Control - Herbivory,6.000000000000026,2.0209943458529365,2.968835619115895,44.21077156658395,0.00481379830351708,**
no.ramets,G4,Control - Herbivory,1.3750000000000238,2.020994345852937,0.6803581627140679,44.21077156658383,0.49982531772344707,ns
no.ramets,G5,Control - Herbivory,2.2500000000000244,2.0209943458529365,1.113313357168468,44.21077156658395,0.27159046878423854,ns
no.ramets,G6,Control - Herbivory,-0.12499999999997624,2.020994345852937,-0.061850742064902445,44.21077156658383,0.9509604715971902,ns
no.leaves,G1,Control - Herbivory,2.4999999999999645,1.4013977331393468,1.7839332409933184,41.71965319898628,0.08170927544954465,ns
no.leaves,G2,Control - Herbivory,3.062364714150834,1.43345100401677,2.136358135415563,44.26992127469101,0.038215683895095255,*
no.leaves,G3,Control - Herbivory,5.999999999999982,1.401397733139346,4.281439778384015,41.7196531989866,1.0641756070995044e-4,***
no.leaves,G4,Control - Herbivory,1.8749999999999805,1.4013977331393457,1.337949930744995,41.7196531989866,0.18816030829914257,ns
no.leaves,G5,Control - Herbivory,2.74999999999998,1.401397733139346,1.9623265650926651,41.71965319898649,0.05641730136748192,ns
no.leaves,G6,Control - Herbivory,2.1249999999999805,1.401397733139346,1.5163432548443292,41.7196531989866,0.13697382120118387,ns
stem.length,G1,Control - Herbivory,-2.525000000000136,6.989427545469156,-0.36125991486054504,42.24500550614319,0.7197056673425162,ns
stem.length,G2,Control - Herbivory,6.489839242496192,7.150836950406724,0.9075635883610889,44.822283156447554,0.3689625871478529,ns
stem.length,G3,Control - Herbivory,14.19375,6.989427545469161,2.0307457095253794,42.245005506143514,0.048605702690757875,*
stem.length,G4,Control - Herbivory,13.48124999999999,6.989427545469161,1.928806030579586,42.2450055061434,0.060491686351882304,ns
stem.length,G5,Control - Herbivory,3.587499999999976,6.989427545469161,0.5132752255691589,42.245005506143514,0.6104328194394352,ns
stem.length,G6,Control - Herbivory,3.07499999999998,6.989427545469161,0.43995019334499347,42.245005506143514,0.6622159043960655,ns
total.leaf.area,G1,Control - Herbivory,-9.790372500000169,9.690273296986618,-1.0103298637660383,52.975126625810134,0.31692985283477165,ns
total.leaf.area,G2,Control - Herbivory,2.638630621714414,9.95246321695816,0.2651233733995027,55.83016325460849,0.7918908734643609,ns
total.leaf.area,G3,Control - Herbivory,-0.22349750000008584,9.690273296986604,-0.02306410698133634,52.975126625809956,0.9816857947573459,ns
total.leaf.area,G4,Control - Herbivory,14.634812499999944,9.690273296986604,1.5102579722442864,52.975126625809956,0.13691979394935158,ns
total.leaf.area,G5,Control - Herbivory,9.16258749999992,9.690273296986604,0.9455447972606946,52.975126625809956,0.3486737938774368,ns
total.leaf.area,G6,Control - Herbivory,-7.04567729166674,9.690273296986604,-0.7270875728404629,52.975126625810134,0.4703733572502359,ns
mla,G1,Control - Herbivory,-1.767657499999997,0.8206317813626591,-2.1540202806486506,82.92173017605685,0.03414103789975212,*
mla,G2,Control - Herbivory,-0.5267819629712913,0.8507127728208749,-0.619224231493007,82.94091113197109,0.5374658680904505,ns
mla,G3,Control - Herbivory,-1.0903650000000007,0.8206317813626596,-1.3286897056185771,82.92173017605593,0.1875952382998094,ns
mla,G4,Control - Herbivory,0.4207537500000036,0.8206317813626594,0.5127192969559891,82.92173017605593,0.6095108327679737,ns
mla,G5,Control - Herbivory,0.1432820833333317,0.8206317813626591,0.17459972497703147,82.9217301760564,0.8618197613005417,ns
mla,G6,Control - Herbivory,-1.42079229166667,0.8206317813626594,-1.731339589733466,82.92173017605593,0.08711030282540778,ns
sla,G1,Control - Herbivory,-217.0883212738331,60.66663621354044,-3.5783807183524083,82.58532150509981,5.818634764145747e-4,***
sla,G2,Control - Herbivory,-173.56553947060803,62.87594001917843,-2.760444446916691,82.68330836375523,0.007107943404947206,**
sla,G3,Control - Herbivory,-169.5075834184621,60.66663621354049,-2.794082447917705,82.58532150510072,0.006468466954990326,**
sla,G4,Control - Herbivory,-90.8253357942052,60.66663621354048,-1.4971216712017643,82.58532150510072,0.138173917936098,ns
sla,G5,Control - Herbivory,-58.997568035326736,60.66663621354047,-0.9724878733619121,82.58532150510072,0.3336476887902782,ns
sla,G6,Control - Herbivory,-238.16327206524454,60.66663621354047,-3.9257701914926306,82.58532150510072,1.7832880922898206e-4,***
ratio,G1,Control - Herbivory,0.007040596983034986,0.015353452555359746,0.45856767118983804,75.8691408085178,0.6478555835215571,ns
ratio,G2,Control - Herbivory,-0.02460115400071018,0.015874371987821923,-1.5497402996214928,77.17818370354998,0.1252950254993623,ns
ratio,G3,Control - Herbivory,-0.011196223803447886,0.015353452555359757,-0.7292316671496394,75.86914080852009,0.4681052648162799,ns
ratio,G4,Control - Herbivory,-0.016742767633362098,0.01535345255535975,-1.0904887726713528,75.86914080852009,0.2789491935917385,ns
ratio,G5,Control - Herbivory,-0.031318193354009885,0.01535345255535975,-2.0398143831875126,75.86914080852009,0.044850125255869636,*
ratio,G6,Control - Herbivory,-0.006986029136873476,0.015353452555359748,-0.4550135620430675,75.86914080852009,0.6503988741327175,ns
